,trialid,sentnum,ianum,ia,lang,uniform_id,skip,firstfix_dur,firstrun_dur,dur,firstrun_nfix,nfix,refix,reread
24,1.0,2.0,25.0,having,en,en_83,0.0,90.0,90.0,372.0,1.0,2.0,0.0,1.0
25,1.0,2.0,26.0,two,en,en_83,0.0,263.0,263.0,263.0,1.0,1.0,0.0,0.0
26,1.0,2.0,27.0,"faces,",en,en_83,0.0,166.0,166.0,166.0,1.0,1.0,0.0,0.0
27,1.0,2.0,28.0,since,en,en_83,0.0,218.0,218.0,218.0,1.0,1.0,0.0,0.0
28,1.0,2.0,29.0,he,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.0,2.0,30.0,looks,en,en_83,0.0,147.0,147.0,147.0,1.0,1.0,0.0,0.0
30,1.0,2.0,31.0,to,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.0,2.0,32.0,the,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.0,2.0,33.0,future,en,en_83,0.0,148.0,148.0,148.0,1.0,1.0,0.0,0.0
33,1.0,2.0,34.0,and,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.0,2.0,35.0,to,en,en_83,0.0,288.0,288.0,288.0,1.0,1.0,0.0,0.0
35,1.0,2.0,36.0,the,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.0,2.0,37.0,past.,en,en_83,0.0,141.0,141.0,367.0,1.0,2.0,0.0,1.0
37,1.0,3.0,38.0,Janus,en,en_83,0.0,260.0,260.0,260.0,1.0,1.0,0.0,0.0
38,1.0,3.0,39.0,presided,en,en_83,0.0,125.0,125.0,125.0,1.0,1.0,0.0,0.0
39,1.0,3.0,40.0,over,en,en_83,0.0,410.0,410.0,410.0,1.0,1.0,0.0,0.0
40,1.0,3.0,41.0,the,en,en_83,0.0,250.0,250.0,250.0,1.0,1.0,0.0,0.0
41,1.0,3.0,42.0,beginning,en,en_83,0.0,112.0,264.0,264.0,2.0,2.0,1.0,0.0
42,1.0,3.0,43.0,and,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.0,3.0,44.0,ending,en,en_83,0.0,176.0,176.0,176.0,1.0,1.0,0.0,0.0
44,1.0,3.0,45.0,of,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1.0,3.0,46.0,"conflict,",en,en_83,0.0,246.0,397.0,397.0,2.0,2.0,1.0,0.0
46,1.0,3.0,47.0,and,en,en_83,0.0,227.0,227.0,227.0,1.0,1.0,0.0,0.0
47,1.0,3.0,48.0,hence,en,en_83,0.0,179.0,179.0,349.0,1.0,2.0,0.0,1.0
48,1.0,3.0,49.0,war,en,en_83,0.0,228.0,228.0,228.0,1.0,1.0,0.0,0.0
49,1.0,3.0,50.0,and,en,en_83,0.0,200.0,200.0,200.0,1.0,1.0,0.0,0.0
50,1.0,3.0,51.0,peace.,en,en_83,0.0,167.0,167.0,167.0,1.0,1.0,0.0,0.0
51,1.0,4.0,52.0,The,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,1.0,4.0,53.0,doors,en,en_83,0.0,268.0,268.0,268.0,1.0,1.0,0.0,0.0
53,1.0,4.0,54.0,of,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,1.0,4.0,55.0,his,en,en_83,0.0,214.0,214.0,214.0,1.0,1.0,0.0,0.0
55,1.0,4.0,56.0,temple,en,en_83,0.0,216.0,216.0,216.0,1.0,1.0,0.0,0.0
56,1.0,4.0,57.0,were,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1.0,4.0,58.0,open,en,en_83,0.0,204.0,372.0,372.0,2.0,2.0,1.0,0.0
58,1.0,4.0,59.0,in,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,1.0,4.0,60.0,times,en,en_83,0.0,209.0,209.0,209.0,1.0,1.0,0.0,0.0
60,1.0,4.0,61.0,of,en,en_83,0.0,239.0,239.0,239.0,1.0,1.0,0.0,0.0
61,1.0,4.0,62.0,war,en,en_83,0.0,151.0,151.0,151.0,1.0,1.0,0.0,0.0
62,1.0,4.0,63.0,and,en,en_83,0.0,149.0,149.0,149.0,1.0,1.0,0.0,0.0
63,1.0,4.0,64.0,closed,en,en_83,0.0,172.0,172.0,172.0,1.0,1.0,0.0,0.0
64,1.0,4.0,65.0,during,en,en_83,0.0,130.0,130.0,130.0,1.0,1.0,0.0,0.0
65,1.0,4.0,66.0,peacetime.,en,en_83,0.0,87.0,87.0,516.0,1.0,3.0,1.0,1.0
66,1.0,5.0,67.0,As,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1.0,5.0,68.0,the,en,en_83,0.0,159.0,159.0,434.0,1.0,2.0,0.0,1.0
68,1.0,5.0,69.0,god,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1.0,5.0,70.0,of,en,en_83,0.0,263.0,263.0,441.0,1.0,2.0,0.0,1.0
70,1.0,5.0,71.0,"gates,",en,en_83,0.0,128.0,128.0,269.0,1.0,2.0,0.0,1.0
71,1.0,5.0,72.0,he,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,1.0,5.0,73.0,was,en,en_83,0.0,201.0,201.0,201.0,1.0,1.0,0.0,0.0
73,1.0,5.0,74.0,also,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,1.0,5.0,75.0,associated,en,en_83,0.0,180.0,180.0,180.0,1.0,1.0,0.0,0.0
75,1.0,5.0,76.0,with,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1.0,5.0,77.0,entering,en,en_83,0.0,236.0,494.0,494.0,2.0,2.0,1.0,0.0
77,1.0,5.0,78.0,and,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,1.0,5.0,79.0,exiting,en,en_83,0.0,229.0,229.0,229.0,1.0,1.0,0.0,0.0
79,1.0,5.0,80.0,the,en,en_83,0.0,217.0,217.0,217.0,1.0,1.0,0.0,0.0
80,1.0,5.0,81.0,doors,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1.0,5.0,82.0,of,en,en_83,0.0,351.0,351.0,351.0,1.0,1.0,0.0,0.0
82,1.0,5.0,83.0,homes.,en,en_83,0.0,109.0,109.0,423.0,1.0,2.0,0.0,1.0
83,1.0,6.0,84.0,Janus,en,en_83,0.0,214.0,214.0,214.0,1.0,1.0,0.0,0.0
84,1.0,6.0,85.0,frequently,en,en_83,0.0,442.0,442.0,442.0,1.0,1.0,0.0,0.0
85,1.0,6.0,86.0,symbolized,en,en_83,0.0,185.0,185.0,185.0,1.0,1.0,0.0,0.0
86,1.0,6.0,87.0,change,en,en_83,0.0,257.0,257.0,257.0,1.0,1.0,0.0,0.0
87,1.0,6.0,88.0,and,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1.0,6.0,89.0,"transitions,",en,en_83,0.0,334.0,334.0,334.0,1.0,1.0,0.0,0.0
89,1.0,6.0,90.0,such,en,en_83,0.0,182.0,182.0,182.0,1.0,1.0,0.0,0.0
90,1.0,6.0,91.0,as,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1.0,6.0,92.0,the,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,1.0,6.0,93.0,progress,en,en_83,0.0,190.0,190.0,190.0,1.0,1.0,0.0,0.0
93,1.0,6.0,94.0,from,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1.0,6.0,95.0,one,en,en_83,0.0,277.0,277.0,277.0,1.0,1.0,0.0,0.0
95,1.0,6.0,96.0,condition,en,en_83,0.0,138.0,296.0,296.0,2.0,2.0,1.0,0.0
96,1.0,6.0,97.0,to,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,1.0,6.0,98.0,"another,",en,en_83,0.0,230.0,230.0,230.0,1.0,1.0,0.0,0.0
98,1.0,6.0,99.0,from,en,en_83,0.0,206.0,206.0,206.0,1.0,1.0,0.0,0.0
99,1.0,6.0,100.0,one,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1.0,6.0,101.0,vision,en,en_83,0.0,243.0,243.0,243.0,1.0,1.0,0.0,0.0
101,1.0,6.0,102.0,to,en,en_83,0.0,229.0,229.0,229.0,1.0,1.0,0.0,0.0
102,1.0,6.0,103.0,"another,",en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,1.0,6.0,104.0,and,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,1.0,6.0,105.0,the,en,en_83,0.0,212.0,212.0,212.0,1.0,1.0,0.0,0.0
105,1.0,6.0,106.0,growth,en,en_83,0.0,185.0,185.0,185.0,1.0,1.0,0.0,0.0
106,1.0,6.0,107.0,of,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,1.0,6.0,108.0,young,en,en_83,0.0,198.0,198.0,198.0,1.0,1.0,0.0,0.0
108,1.0,6.0,109.0,people,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,1.0,6.0,110.0,into,en,en_83,0.0,216.0,216.0,216.0,1.0,1.0,0.0,0.0
110,1.0,6.0,111.0,adulthood.,en,en_83,0.0,230.0,230.0,379.0,1.0,2.0,0.0,1.0
111,1.0,7.0,112.0,"Hence,",en,en_83,0.0,232.0,232.0,232.0,1.0,1.0,0.0,0.0
112,1.0,7.0,113.0,Janus,en,en_83,0.0,330.0,330.0,330.0,1.0,1.0,0.0,0.0
113,1.0,7.0,114.0,was,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,1.0,7.0,115.0,worshipped,en,en_83,0.0,168.0,313.0,313.0,2.0,2.0,1.0,0.0
115,1.0,7.0,116.0,at,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,1.0,7.0,117.0,the,en,en_83,0.0,328.0,328.0,328.0,1.0,1.0,0.0,0.0
117,1.0,7.0,118.0,beginning,en,en_83,0.0,118.0,118.0,308.0,1.0,2.0,0.0,1.0
118,1.0,7.0,119.0,of,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,1.0,7.0,120.0,the,en,en_83,0.0,225.0,225.0,225.0,1.0,1.0,0.0,0.0
120,1.0,7.0,121.0,harvest,en,en_83,0.0,240.0,240.0,240.0,1.0,1.0,0.0,0.0
121,1.0,7.0,122.0,and,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,1.0,7.0,123.0,planting,en,en_83,0.0,195.0,195.0,195.0,1.0,1.0,0.0,0.0
123,1.0,7.0,124.0,"times,",en,en_83,0.0,152.0,152.0,152.0,1.0,1.0,0.0,0.0
124,1.0,7.0,125.0,as,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,1.0,7.0,126.0,well,en,en_83,0.0,319.0,319.0,319.0,1.0,1.0,0.0,0.0
126,1.0,7.0,127.0,as,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,1.0,7.0,128.0,at,en,en_83,0.0,245.0,245.0,245.0,1.0,1.0,0.0,0.0
128,1.0,7.0,129.0,"marriages,",en,en_83,0.0,163.0,376.0,376.0,2.0,2.0,1.0,0.0
129,1.0,7.0,130.0,"deaths,",en,en_83,0.0,135.0,322.0,322.0,2.0,2.0,1.0,0.0
130,1.0,7.0,131.0,and,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,1.0,7.0,132.0,other,en,en_83,0.0,138.0,138.0,138.0,1.0,1.0,0.0,0.0
132,1.0,7.0,133.0,beginnings.,en,en_83,0.0,192.0,192.0,373.0,1.0,2.0,0.0,1.0
133,1.0,8.0,134.0,Janus,en,en_83,0.0,224.0,224.0,224.0,1.0,1.0,0.0,0.0
134,1.0,8.0,135.0,had,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,1.0,8.0,136.0,no,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,1.0,8.0,137.0,specialized,en,en_83,0.0,98.0,98.0,308.0,1.0,2.0,0.0,1.0
137,1.0,8.0,138.0,priest,en,en_83,0.0,311.0,311.0,543.0,1.0,2.0,0.0,1.0
138,1.0,8.0,139.0,assigned,en,en_83,0.0,293.0,293.0,487.0,1.0,2.0,0.0,1.0
139,1.0,8.0,140.0,to,en,en_83,0.0,210.0,210.0,210.0,1.0,1.0,0.0,0.0
140,1.0,8.0,141.0,"him,",en,en_83,0.0,137.0,137.0,137.0,1.0,1.0,0.0,0.0
141,1.0,8.0,142.0,but,en,en_83,0.0,156.0,156.0,312.0,1.0,2.0,0.0,1.0
142,1.0,8.0,143.0,the,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,1.0,8.0,144.0,high,en,en_83,0.0,193.0,193.0,367.0,1.0,2.0,0.0,1.0
144,1.0,8.0,145.0,priest,en,en_83,0.0,167.0,167.0,424.0,1.0,2.0,0.0,1.0
145,1.0,8.0,146.0,himself,en,en_83,0.0,206.0,206.0,206.0,1.0,1.0,0.0,0.0
146,1.0,8.0,147.0,carried,en,en_83,0.0,195.0,195.0,195.0,1.0,1.0,0.0,0.0
147,1.0,8.0,148.0,out,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,1.0,8.0,149.0,his,en,en_83,0.0,171.0,171.0,171.0,1.0,1.0,0.0,0.0
149,1.0,8.0,150.0,ceremonies.,en,en_83,0.0,208.0,301.0,301.0,2.0,2.0,1.0,0.0
150,1.0,9.0,151.0,Janus,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,1.0,9.0,152.0,represented,en,en_83,0.0,255.0,451.0,451.0,2.0,2.0,1.0,0.0
152,1.0,9.0,153.0,the,en,en_83,0.0,188.0,188.0,188.0,1.0,1.0,0.0,0.0
153,1.0,9.0,154.0,middle,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,1.0,9.0,155.0,ground,en,en_83,0.0,200.0,200.0,200.0,1.0,1.0,0.0,0.0
155,1.0,9.0,156.0,between,en,en_83,0.0,237.0,237.0,237.0,1.0,1.0,0.0,0.0
156,1.0,9.0,157.0,barbarism,en,en_83,0.0,198.0,341.0,341.0,2.0,2.0,1.0,0.0
157,1.0,9.0,158.0,and,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,1.0,9.0,159.0,"civilization,",en,en_83,0.0,175.0,175.0,175.0,1.0,1.0,0.0,0.0
159,1.0,9.0,160.0,rural,en,en_83,0.0,180.0,180.0,180.0,1.0,1.0,0.0,0.0
160,1.0,9.0,161.0,and,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,1.0,9.0,162.0,urban,en,en_83,0.0,240.0,240.0,240.0,1.0,1.0,0.0,0.0
162,1.0,9.0,163.0,"space,",en,en_83,0.0,263.0,263.0,263.0,1.0,1.0,0.0,0.0
163,1.0,9.0,164.0,youth,en,en_83,0.0,226.0,226.0,226.0,1.0,1.0,0.0,0.0
164,1.0,9.0,165.0,and,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,1.0,9.0,166.0,adulthood.,en,en_83,0.0,97.0,272.0,272.0,2.0,2.0,1.0,0.0
166,1.0,10.0,167.0,The,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,1.0,10.0,168.0,ancient,en,en_83,0.0,183.0,183.0,183.0,1.0,1.0,0.0,0.0
168,1.0,10.0,169.0,Greeks,en,en_83,0.0,164.0,164.0,164.0,1.0,1.0,0.0,0.0
169,1.0,10.0,170.0,had,en,en_83,0.0,249.0,249.0,249.0,1.0,1.0,0.0,0.0
170,1.0,10.0,171.0,no,en,en_83,0.0,146.0,146.0,146.0,1.0,1.0,0.0,0.0
171,1.0,10.0,172.0,equivalent,en,en_83,0.0,243.0,357.0,357.0,2.0,2.0,1.0,0.0
172,1.0,10.0,173.0,to,en,en_83,0.0,277.0,277.0,277.0,1.0,1.0,0.0,0.0
173,1.0,10.0,174.0,"Janus,",en,en_83,0.0,242.0,242.0,242.0,1.0,1.0,0.0,0.0
174,1.0,10.0,175.0,whom,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,1.0,10.0,176.0,the,en,en_83,0.0,241.0,241.0,241.0,1.0,1.0,0.0,0.0
176,1.0,10.0,177.0,Romans,en,en_83,0.0,223.0,223.0,223.0,1.0,1.0,0.0,0.0
177,1.0,10.0,178.0,claimed,en,en_83,0.0,216.0,216.0,216.0,1.0,1.0,0.0,0.0
178,1.0,10.0,179.0,as,en,en_83,0.0,189.0,189.0,189.0,1.0,1.0,0.0,0.0
179,1.0,10.0,180.0,distinctively,en,en_83,0.0,241.0,402.0,707.0,2.0,4.0,1.0,1.0
180,1.0,10.0,181.0,their,en,en_83,0.0,169.0,169.0,169.0,1.0,1.0,0.0,0.0
181,1.0,10.0,182.0,own.,en,en_83,0.0,247.0,379.0,379.0,2.0,2.0,1.0,0.0
182,2.0,1.0,1.0,The,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,2.0,1.0,2.0,shaka,en,en_83,0.0,164.0,164.0,399.0,1.0,2.0,0.0,1.0
184,2.0,1.0,3.0,"sign,",en,en_83,0.0,162.0,162.0,613.0,1.0,3.0,0.0,1.0
185,2.0,1.0,4.0,sometimes,en,en_83,0.0,159.0,159.0,159.0,1.0,1.0,0.0,0.0
186,2.0,1.0,5.0,known,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,2.0,1.0,6.0,as,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,2.0,1.0,7.0,"""hang",en,en_83,0.0,201.0,201.0,201.0,1.0,1.0,0.0,0.0
189,2.0,1.0,8.0,"loose"",",en,en_83,0.0,140.0,140.0,140.0,1.0,1.0,0.0,0.0
190,2.0,1.0,9.0,is,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,2.0,1.0,10.0,a,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,2.0,1.0,11.0,gesture,en,en_83,0.0,140.0,140.0,140.0,1.0,1.0,0.0,0.0
193,2.0,1.0,12.0,of,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,2.0,1.0,13.0,friendly,en,en_83,0.0,196.0,196.0,196.0,1.0,1.0,0.0,0.0
195,2.0,1.0,14.0,intent,en,en_83,0.0,145.0,145.0,145.0,1.0,1.0,0.0,0.0
196,2.0,1.0,15.0,often,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,2.0,1.0,16.0,associated,en,en_83,0.0,162.0,162.0,162.0,1.0,1.0,0.0,0.0
198,2.0,1.0,17.0,with,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,2.0,1.0,18.0,Hawaii,en,en_83,0.0,138.0,302.0,302.0,2.0,2.0,1.0,0.0
200,2.0,1.0,19.0,and,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,2.0,1.0,20.0,surf,en,en_83,0.0,232.0,232.0,232.0,1.0,1.0,0.0,0.0
202,2.0,1.0,21.0,culture.,en,en_83,0.0,199.0,199.0,199.0,1.0,1.0,0.0,0.0
203,2.0,2.0,22.0,The,en,en_83,0.0,190.0,190.0,190.0,1.0,1.0,0.0,0.0
204,2.0,2.0,23.0,gesture,en,en_83,0.0,139.0,139.0,139.0,1.0,1.0,0.0,0.0
205,2.0,2.0,24.0,is,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,2.0,2.0,25.0,made,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,2.0,2.0,26.0,by,en,en_83,0.0,278.0,278.0,278.0,1.0,1.0,0.0,0.0
208,2.0,2.0,27.0,extending,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,2.0,2.0,28.0,the,en,en_83,0.0,144.0,144.0,144.0,1.0,1.0,0.0,0.0
210,2.0,2.0,29.0,thumb,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,2.0,2.0,30.0,and,en,en_83,0.0,204.0,204.0,204.0,1.0,1.0,0.0,0.0
212,2.0,2.0,31.0,smallest,en,en_83,0.0,232.0,232.0,232.0,1.0,1.0,0.0,0.0
213,2.0,2.0,32.0,finger,en,en_83,0.0,154.0,154.0,154.0,1.0,1.0,0.0,0.0
214,2.0,2.0,33.0,while,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,2.0,2.0,34.0,holding,en,en_83,0.0,175.0,344.0,344.0,2.0,2.0,1.0,0.0
216,2.0,2.0,35.0,the,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,2.0,2.0,36.0,three,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,2.0,2.0,37.0,middle,en,en_83,0.0,188.0,245.0,245.0,2.0,2.0,1.0,0.0
219,2.0,2.0,38.0,fingers,en,en_83,0.0,128.0,388.0,388.0,2.0,2.0,1.0,0.0
220,2.0,2.0,39.0,curled,en,en_83,0.0,231.0,231.0,231.0,1.0,1.0,0.0,0.0
221,2.0,2.0,40.0,and,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,2.0,2.0,41.0,gesturing,en,en_83,0.0,218.0,218.0,218.0,1.0,1.0,0.0,0.0
223,2.0,2.0,42.0,in,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,2.0,2.0,43.0,salutation,en,en_83,0.0,262.0,262.0,262.0,1.0,1.0,0.0,0.0
225,2.0,2.0,44.0,while,en,en_83,0.0,264.0,264.0,264.0,1.0,1.0,0.0,0.0
226,2.0,2.0,45.0,presenting,en,en_83,0.0,191.0,191.0,191.0,1.0,1.0,0.0,0.0
227,2.0,2.0,46.0,the,en,en_83,0.0,166.0,166.0,166.0,1.0,1.0,0.0,0.0
228,2.0,2.0,47.0,front,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,2.0,2.0,48.0,or,en,en_83,0.0,150.0,150.0,150.0,1.0,1.0,0.0,0.0
230,2.0,2.0,49.0,back,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,2.0,2.0,50.0,of,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,2.0,2.0,51.0,the,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,2.0,2.0,52.0,hand;,en,en_83,0.0,217.0,217.0,217.0,1.0,1.0,0.0,0.0
234,2.0,2.0,53.0,the,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,2.0,2.0,54.0,hand,en,en_83,0.0,121.0,121.0,121.0,1.0,1.0,0.0,0.0
236,2.0,2.0,55.0,may,en,en_83,0.0,132.0,132.0,132.0,1.0,1.0,0.0,0.0
237,2.0,2.0,56.0,be,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,2.0,2.0,57.0,rotated,en,en_83,0.0,381.0,599.0,599.0,2.0,2.0,1.0,0.0
239,2.0,2.0,58.0,back,en,en_83,0.0,157.0,157.0,157.0,1.0,1.0,0.0,0.0
240,2.0,2.0,59.0,and,en,en_83,0.0,91.0,91.0,91.0,1.0,1.0,0.0,0.0
241,2.0,2.0,60.0,forth,en,en_83,0.0,228.0,228.0,228.0,1.0,1.0,0.0,0.0
242,2.0,2.0,61.0,for,en,en_83,0.0,146.0,146.0,146.0,1.0,1.0,0.0,0.0
243,2.0,2.0,62.0,emphasis.,en,en_83,0.0,258.0,258.0,367.0,1.0,2.0,0.0,1.0
244,2.0,3.0,63.0,The,en,en_83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,2.0,3.0,64.0,shaka,en,en_83,0.0,220.0,220.0,404.0,1.0,2.0,0.0,1.0
246,2.0,3.0,65.0,sign,en,en_83,0.0,166.0,166.0,405.0,1.0,2.0,0.0,1.0
247,2.0,3.0,66.0,was,en,en_83,0.0,189.0,189.0,189.0,1.0,1.0,0.0,0.0
248,2.0,3.0,67.0,adopted,en,en_83,0.0,190.0,190.0,632.0,1.0,4.0,0.0,1.0
249,2.0,3.0,68.0,from,en,en_83,0.0,229.0,229.0,229.0,1.0,1.0,0.0,0.0
250,2.0,3.0,69.0,local,en,en_83,0.0,154.0,154.0,489.0,1.0,2.0,0.0,1.0
251,2.0,3.0,70.0,Hawaiian,en,en_83,0.0,158.0,158.0,419.0,1.0,2.0,0.0,1.0
