,trialid,sentnum,ianum,ia,lang,uniform_id,skip,firstfix_dur,firstrun_dur,dur,firstrun_nfix,nfix,refix,reread
48,1.0,10.0,171.0,no,en,en_57,0.0,196.0,196.0,196.0,1.0,1.0,0.0,0.0
49,1.0,10.0,172.0,equivalent,en,en_57,0.0,185.0,185.0,351.0,1.0,2.0,0.0,1.0
50,1.0,10.0,173.0,to,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1.0,10.0,174.0,"Janus,",en,en_57,0.0,231.0,386.0,583.0,2.0,3.0,1.0,1.0
52,1.0,10.0,175.0,whom,en,en_57,0.0,209.0,209.0,209.0,1.0,1.0,0.0,0.0
53,1.0,10.0,176.0,the,en,en_57,0.0,152.0,152.0,563.0,1.0,3.0,0.0,1.0
54,1.0,10.0,177.0,Romans,en,en_57,0.0,333.0,333.0,537.0,1.0,2.0,0.0,1.0
55,1.0,10.0,178.0,claimed,en,en_57,0.0,210.0,210.0,515.0,1.0,2.0,0.0,1.0
56,1.0,10.0,179.0,as,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1.0,10.0,180.0,distinctively,en,en_57,0.0,93.0,369.0,833.0,3.0,4.0,1.0,1.0
58,1.0,10.0,181.0,their,en,en_57,0.0,397.0,397.0,397.0,1.0,1.0,0.0,0.0
59,1.0,10.0,182.0,own.,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1.0,1.0,1.0,In,en,en_57,0.0,63.0,63.0,63.0,1.0,1.0,0.0,0.0
61,1.0,1.0,2.0,ancient,en,en_57,0.0,229.0,229.0,620.0,1.0,3.0,0.0,1.0
62,1.0,1.0,3.0,Roman,en,en_57,0.0,183.0,183.0,853.0,1.0,5.0,1.0,1.0
63,1.0,1.0,4.0,religion,en,en_57,0.0,220.0,220.0,1154.0,1.0,5.0,1.0,1.0
64,1.0,1.0,5.0,and,en,en_57,0.0,259.0,259.0,392.0,1.0,2.0,0.0,1.0
65,1.0,1.0,6.0,"myth,",en,en_57,0.0,148.0,148.0,698.0,1.0,4.0,1.0,1.0
66,1.0,1.0,7.0,Janus,en,en_57,0.0,266.0,266.0,827.0,1.0,3.0,0.0,1.0
67,1.0,1.0,8.0,is,en,en_57,0.0,286.0,286.0,808.0,1.0,3.0,0.0,1.0
68,1.0,1.0,9.0,the,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1.0,1.0,10.0,god,en,en_57,0.0,240.0,240.0,240.0,1.0,1.0,0.0,0.0
70,1.0,1.0,11.0,of,en,en_57,0.0,151.0,151.0,151.0,1.0,1.0,0.0,0.0
71,1.0,1.0,12.0,beginnings,en,en_57,0.0,224.0,224.0,224.0,1.0,1.0,0.0,0.0
72,1.0,1.0,13.0,and,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,1.0,1.0,14.0,gates.,en,en_57,0.0,183.0,183.0,183.0,1.0,1.0,0.0,0.0
74,1.0,2.0,15.0,He,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1.0,2.0,16.0,has,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1.0,2.0,17.0,a,en,en_57,0.0,221.0,221.0,221.0,1.0,1.0,0.0,0.0
77,1.0,2.0,18.0,double,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,1.0,2.0,19.0,nature,en,en_57,0.0,163.0,317.0,317.0,2.0,2.0,1.0,0.0
79,1.0,2.0,20.0,and,en,en_57,0.0,230.0,230.0,230.0,1.0,1.0,0.0,0.0
80,1.0,2.0,21.0,is,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1.0,2.0,22.0,usually,en,en_57,0.0,277.0,277.0,277.0,1.0,1.0,0.0,0.0
82,1.0,2.0,23.0,depicted,en,en_57,0.0,141.0,478.0,478.0,2.0,2.0,0.0,0.0
83,1.0,2.0,24.0,as,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1.0,2.0,25.0,having,en,en_57,0.0,236.0,236.0,236.0,1.0,1.0,0.0,0.0
85,1.0,2.0,26.0,two,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1.0,2.0,27.0,"faces,",en,en_57,0.0,329.0,583.0,583.0,2.0,2.0,1.0,0.0
87,1.0,2.0,28.0,since,en,en_57,0.0,130.0,320.0,320.0,2.0,2.0,1.0,0.0
88,1.0,2.0,29.0,he,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1.0,2.0,30.0,looks,en,en_57,0.0,170.0,170.0,170.0,1.0,1.0,0.0,0.0
90,1.0,2.0,31.0,to,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1.0,2.0,32.0,the,en,en_57,0.0,285.0,285.0,285.0,1.0,1.0,0.0,0.0
92,1.0,2.0,33.0,future,en,en_57,0.0,259.0,430.0,430.0,2.0,2.0,1.0,0.0
93,1.0,2.0,34.0,and,en,en_57,0.0,254.0,254.0,254.0,1.0,1.0,0.0,0.0
94,1.0,2.0,35.0,to,en,en_57,0.0,164.0,164.0,518.0,1.0,2.0,0.0,1.0
95,1.0,2.0,36.0,the,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1.0,2.0,37.0,past.,en,en_57,0.0,245.0,530.0,747.0,2.0,3.0,1.0,1.0
97,1.0,3.0,38.0,Janus,en,en_57,0.0,505.0,505.0,811.0,1.0,3.0,1.0,1.0
98,1.0,3.0,39.0,presided,en,en_57,0.0,364.0,521.0,825.0,2.0,3.0,1.0,1.0
99,1.0,3.0,40.0,over,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1.0,3.0,41.0,the,en,en_57,0.0,268.0,868.0,868.0,2.0,2.0,1.0,0.0
101,1.0,3.0,42.0,beginning,en,en_57,0.0,212.0,212.0,450.0,1.0,2.0,0.0,1.0
102,1.0,3.0,43.0,and,en,en_57,0.0,126.0,126.0,400.0,1.0,3.0,0.0,1.0
103,1.0,3.0,44.0,ending,en,en_57,0.0,275.0,275.0,275.0,1.0,1.0,0.0,0.0
104,1.0,3.0,45.0,of,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,1.0,3.0,46.0,"conflict,",en,en_57,0.0,278.0,405.0,405.0,2.0,2.0,1.0,0.0
106,1.0,3.0,47.0,and,en,en_57,0.0,121.0,121.0,121.0,1.0,1.0,0.0,0.0
107,1.0,3.0,48.0,hence,en,en_57,0.0,171.0,449.0,449.0,3.0,3.0,1.0,0.0
108,1.0,3.0,49.0,war,en,en_57,0.0,175.0,175.0,175.0,1.0,1.0,0.0,0.0
109,1.0,3.0,50.0,and,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,1.0,3.0,51.0,peace.,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,1.0,4.0,52.0,The,en,en_57,0.0,284.0,284.0,991.0,1.0,3.0,0.0,1.0
112,1.0,4.0,53.0,doors,en,en_57,0.0,139.0,139.0,500.0,1.0,2.0,0.0,1.0
113,1.0,4.0,54.0,of,en,en_57,0.0,284.0,284.0,284.0,1.0,1.0,0.0,0.0
114,1.0,4.0,55.0,his,en,en_57,0.0,242.0,242.0,431.0,1.0,2.0,0.0,1.0
115,1.0,4.0,56.0,temple,en,en_57,0.0,227.0,227.0,227.0,1.0,1.0,0.0,0.0
116,1.0,4.0,57.0,were,en,en_57,0.0,232.0,232.0,232.0,1.0,1.0,0.0,0.0
117,1.0,4.0,58.0,open,en,en_57,0.0,167.0,167.0,167.0,1.0,1.0,0.0,0.0
118,1.0,4.0,59.0,in,en,en_57,0.0,260.0,260.0,260.0,1.0,1.0,0.0,0.0
119,1.0,4.0,60.0,times,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,1.0,4.0,61.0,of,en,en_57,0.0,210.0,434.0,434.0,2.0,2.0,1.0,0.0
121,1.0,4.0,62.0,war,en,en_57,0.0,247.0,247.0,247.0,1.0,1.0,0.0,0.0
122,1.0,4.0,63.0,and,en,en_57,0.0,134.0,134.0,134.0,1.0,1.0,0.0,0.0
123,1.0,4.0,64.0,closed,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,1.0,4.0,65.0,during,en,en_57,0.0,304.0,546.0,546.0,2.0,2.0,1.0,0.0
125,1.0,4.0,66.0,peacetime.,en,en_57,0.0,142.0,486.0,920.0,2.0,4.0,1.0,1.0
126,1.0,5.0,67.0,As,en,en_57,0.0,721.0,721.0,1120.0,1.0,2.0,0.0,1.0
127,1.0,5.0,68.0,the,en,en_57,0.0,247.0,247.0,943.0,1.0,4.0,0.0,1.0
128,1.0,5.0,69.0,god,en,en_57,0.0,265.0,610.0,998.0,2.0,3.0,1.0,1.0
129,1.0,5.0,70.0,of,en,en_57,0.0,265.0,265.0,265.0,1.0,1.0,0.0,0.0
130,1.0,5.0,71.0,"gates,",en,en_57,0.0,229.0,229.0,229.0,1.0,1.0,0.0,0.0
131,1.0,5.0,72.0,he,en,en_57,0.0,204.0,204.0,691.0,1.0,4.0,1.0,1.0
132,1.0,5.0,73.0,was,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,1.0,5.0,74.0,also,en,en_57,0.0,378.0,378.0,529.0,1.0,2.0,0.0,1.0
134,1.0,5.0,75.0,associated,en,en_57,0.0,821.0,1025.0,1168.0,2.0,3.0,1.0,1.0
135,1.0,5.0,76.0,with,en,en_57,0.0,155.0,155.0,155.0,1.0,1.0,0.0,0.0
136,1.0,5.0,77.0,entering,en,en_57,0.0,357.0,357.0,357.0,1.0,1.0,0.0,0.0
137,1.0,5.0,78.0,and,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,1.0,5.0,79.0,exiting,en,en_57,0.0,211.0,427.0,639.0,2.0,3.0,1.0,1.0
139,1.0,5.0,80.0,the,en,en_57,0.0,289.0,1119.0,1710.0,4.0,6.0,1.0,1.0
140,1.0,5.0,81.0,doors,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,1.0,5.0,82.0,of,en,en_57,0.0,227.0,227.0,439.0,1.0,2.0,0.0,1.0
142,1.0,5.0,83.0,homes.,en,en_57,0.0,124.0,427.0,558.0,2.0,3.0,0.0,1.0
143,1.0,6.0,84.0,Janus,en,en_57,0.0,113.0,113.0,989.0,1.0,5.0,1.0,1.0
144,1.0,6.0,85.0,frequently,en,en_57,0.0,206.0,206.0,206.0,1.0,1.0,0.0,0.0
145,1.0,6.0,86.0,symbolized,en,en_57,0.0,182.0,329.0,329.0,2.0,2.0,1.0,0.0
146,1.0,6.0,87.0,change,en,en_57,0.0,289.0,289.0,289.0,1.0,1.0,0.0,0.0
147,1.0,6.0,88.0,and,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,1.0,6.0,89.0,"transitions,",en,en_57,0.0,282.0,282.0,644.0,1.0,3.0,1.0,1.0
149,1.0,6.0,90.0,such,en,en_57,0.0,292.0,292.0,292.0,1.0,1.0,0.0,0.0
150,1.0,6.0,91.0,as,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,1.0,6.0,92.0,the,en,en_57,0.0,142.0,142.0,142.0,1.0,1.0,0.0,0.0
152,1.0,6.0,93.0,progress,en,en_57,0.0,202.0,202.0,458.0,1.0,2.0,0.0,1.0
153,1.0,6.0,94.0,from,en,en_57,0.0,201.0,361.0,361.0,2.0,2.0,1.0,0.0
154,1.0,6.0,95.0,one,en,en_57,0.0,135.0,135.0,135.0,1.0,1.0,0.0,0.0
155,1.0,6.0,96.0,condition,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,1.0,6.0,97.0,to,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,1.0,6.0,98.0,"another,",en,en_57,0.0,185.0,185.0,185.0,1.0,1.0,0.0,0.0
158,1.0,6.0,99.0,from,en,en_57,0.0,147.0,147.0,147.0,1.0,1.0,0.0,0.0
159,1.0,6.0,100.0,one,en,en_57,0.0,155.0,382.0,548.0,2.0,3.0,1.0,1.0
160,1.0,6.0,101.0,vision,en,en_57,0.0,242.0,242.0,242.0,1.0,1.0,0.0,0.0
161,1.0,6.0,102.0,to,en,en_57,0.0,124.0,124.0,124.0,1.0,1.0,0.0,0.0
162,1.0,6.0,103.0,"another,",en,en_57,0.0,231.0,231.0,231.0,1.0,1.0,0.0,0.0
163,1.0,6.0,104.0,and,en,en_57,0.0,175.0,175.0,449.0,1.0,2.0,0.0,1.0
164,1.0,6.0,105.0,the,en,en_57,0.0,190.0,190.0,346.0,1.0,2.0,0.0,1.0
165,1.0,6.0,106.0,growth,en,en_57,0.0,213.0,213.0,504.0,1.0,2.0,0.0,1.0
166,1.0,6.0,107.0,of,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,1.0,6.0,108.0,young,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,1.0,6.0,109.0,people,en,en_57,0.0,228.0,228.0,228.0,1.0,1.0,0.0,0.0
169,1.0,6.0,110.0,into,en,en_57,0.0,187.0,187.0,356.0,1.0,2.0,0.0,1.0
170,1.0,6.0,111.0,adulthood.,en,en_57,0.0,191.0,191.0,587.0,1.0,2.0,0.0,1.0
171,1.0,7.0,112.0,"Hence,",en,en_57,0.0,282.0,282.0,282.0,1.0,1.0,0.0,0.0
172,1.0,7.0,113.0,Janus,en,en_57,0.0,251.0,251.0,251.0,1.0,1.0,0.0,0.0
173,1.0,7.0,114.0,was,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,1.0,7.0,115.0,worshipped,en,en_57,0.0,294.0,556.0,556.0,2.0,2.0,1.0,0.0
175,1.0,7.0,116.0,at,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,1.0,7.0,117.0,the,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,1.0,7.0,118.0,beginning,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,1.0,7.0,119.0,of,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,1.0,7.0,120.0,the,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,1.0,7.0,121.0,harvest,en,en_57,0.0,165.0,246.0,246.0,2.0,2.0,1.0,0.0
181,1.0,7.0,122.0,and,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,3.0,1.0,1.0,In,en,en_57,0.0,139.0,139.0,139.0,1.0,1.0,0.0,0.0
183,3.0,1.0,2.0,competitive,en,en_57,0.0,100.0,994.0,1566.0,5.0,9.0,1.0,1.0
184,3.0,1.0,3.0,"sports,",en,en_57,0.0,317.0,482.0,647.0,2.0,3.0,1.0,1.0
185,3.0,1.0,4.0,doping,en,en_57,0.0,240.0,478.0,478.0,2.0,2.0,1.0,0.0
186,3.0,1.0,5.0,is,en,en_57,0.0,324.0,324.0,928.0,1.0,3.0,0.0,1.0
187,3.0,1.0,6.0,the,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,3.0,1.0,7.0,use,en,en_57,0.0,275.0,275.0,275.0,1.0,1.0,0.0,0.0
189,3.0,1.0,8.0,of,en,en_57,0.0,187.0,187.0,339.0,1.0,2.0,0.0,1.0
190,3.0,1.0,9.0,banned,en,en_57,0.0,357.0,357.0,357.0,1.0,1.0,0.0,0.0
191,3.0,1.0,10.0,performance-,en,en_57,0.0,178.0,178.0,178.0,1.0,1.0,0.0,0.0
192,3.0,1.0,11.0,enhancing,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3.0,1.0,12.0,drugs,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,3.0,1.0,13.0,by,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,3.0,1.0,14.0,athletic,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,3.0,1.0,15.0,competitors.,en,en_57,0.0,240.0,240.0,441.0,1.0,2.0,0.0,1.0
197,3.0,2.0,16.0,The,en,en_57,0.0,185.0,185.0,185.0,1.0,1.0,0.0,0.0
198,3.0,2.0,17.0,term,en,en_57,0.0,287.0,287.0,467.0,1.0,2.0,0.0,1.0
199,3.0,2.0,18.0,doping,en,en_57,0.0,234.0,234.0,234.0,1.0,1.0,0.0,0.0
200,3.0,2.0,19.0,is,en,en_57,0.0,189.0,189.0,189.0,1.0,1.0,0.0,0.0
201,3.0,2.0,20.0,widely,en,en_57,0.0,60.0,60.0,392.0,1.0,3.0,0.0,1.0
202,3.0,2.0,21.0,used,en,en_57,0.0,183.0,183.0,363.0,1.0,2.0,0.0,1.0
203,3.0,2.0,22.0,by,en,en_57,0.0,370.0,370.0,494.0,1.0,2.0,0.0,1.0
204,3.0,2.0,23.0,organizations,en,en_57,0.0,236.0,236.0,546.0,1.0,2.0,0.0,1.0
205,3.0,2.0,24.0,which,en,en_57,0.0,258.0,258.0,477.0,1.0,2.0,0.0,1.0
206,3.0,2.0,25.0,regulate,en,en_57,0.0,158.0,158.0,662.0,1.0,3.0,0.0,1.0
207,3.0,2.0,26.0,sporting,en,en_57,0.0,220.0,220.0,873.0,1.0,4.0,0.0,1.0
208,3.0,2.0,27.0,competitions.,en,en_57,0.0,309.0,883.0,883.0,4.0,4.0,1.0,0.0
209,3.0,3.0,28.0,The,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,3.0,3.0,29.0,use,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,3.0,3.0,30.0,of,en,en_57,0.0,236.0,236.0,466.0,1.0,2.0,0.0,1.0
212,3.0,3.0,31.0,drugs,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,3.0,3.0,32.0,to,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,3.0,3.0,33.0,enhance,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,3.0,3.0,34.0,performance,en,en_57,0.0,138.0,138.0,482.0,1.0,3.0,0.0,1.0
216,3.0,3.0,35.0,is,en,en_57,0.0,143.0,143.0,312.0,1.0,2.0,0.0,1.0
217,3.0,3.0,36.0,largely,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,3.0,3.0,37.0,considered,en,en_57,0.0,217.0,217.0,217.0,1.0,1.0,0.0,0.0
219,3.0,3.0,38.0,"unethical,",en,en_57,0.0,281.0,715.0,715.0,3.0,3.0,1.0,0.0
220,3.0,3.0,39.0,and,en,en_57,0.0,190.0,190.0,190.0,1.0,1.0,0.0,0.0
221,3.0,3.0,40.0,is,en,en_57,0.0,183.0,183.0,183.0,1.0,1.0,0.0,0.0
222,3.0,3.0,41.0,therefore,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,3.0,3.0,42.0,prohibited,en,en_57,0.0,325.0,325.0,511.0,1.0,2.0,0.0,1.0
224,3.0,3.0,43.0,by,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,3.0,3.0,44.0,most,en,en_57,0.0,268.0,268.0,619.0,1.0,3.0,1.0,1.0
226,3.0,3.0,45.0,international,en,en_57,0.0,186.0,362.0,362.0,2.0,2.0,1.0,0.0
227,3.0,3.0,46.0,sports,en,en_57,0.0,188.0,188.0,188.0,1.0,1.0,0.0,0.0
228,3.0,3.0,47.0,"organizations,",en,en_57,0.0,213.0,213.0,978.0,1.0,4.0,1.0,1.0
229,3.0,3.0,48.0,including,en,en_57,0.0,184.0,314.0,1137.0,2.0,5.0,1.0,1.0
230,3.0,3.0,49.0,the,en,en_57,0.0,99.0,252.0,252.0,2.0,2.0,0.0,0.0
231,3.0,3.0,50.0,International,en,en_57,0.0,253.0,253.0,1525.0,1.0,5.0,0.0,1.0
232,3.0,3.0,51.0,Olympic,en,en_57,0.0,216.0,216.0,1087.0,1.0,6.0,1.0,1.0
233,3.0,3.0,52.0,Committee.,en,en_57,0.0,365.0,365.0,1619.0,1.0,7.0,1.0,1.0
234,3.0,4.0,53.0,"Furthermore,",en,en_57,0.0,266.0,266.0,921.0,1.0,3.0,0.0,1.0
235,3.0,4.0,54.0,athletes,en,en_57,0.0,170.0,330.0,950.0,2.0,6.0,1.0,1.0
236,3.0,4.0,55.0,who,en,en_57,0.0,243.0,243.0,472.0,1.0,2.0,0.0,1.0
237,3.0,4.0,56.0,take,en,en_57,0.0,84.0,84.0,84.0,1.0,1.0,0.0,0.0
238,3.0,4.0,57.0,explicit,en,en_57,0.0,162.0,162.0,162.0,1.0,1.0,0.0,0.0
239,3.0,4.0,58.0,measures,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,3.0,4.0,59.0,to,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,3.0,4.0,60.0,evade,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,3.0,4.0,61.0,detection,en,en_57,0.0,139.0,463.0,1077.0,2.0,3.0,1.0,1.0
243,3.0,4.0,62.0,exacerbate,en,en_57,0.0,389.0,389.0,559.0,1.0,2.0,0.0,1.0
244,3.0,4.0,63.0,the,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,3.0,4.0,64.0,ethical,en,en_57,0.0,176.0,454.0,1037.0,2.0,4.0,1.0,1.0
246,3.0,4.0,65.0,violation,en,en_57,0.0,196.0,576.0,962.0,3.0,5.0,1.0,1.0
247,3.0,4.0,66.0,with,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,3.0,4.0,67.0,overt,en,en_57,0.0,134.0,134.0,134.0,1.0,1.0,0.0,0.0
249,3.0,4.0,68.0,deception,en,en_57,0.0,124.0,676.0,988.0,4.0,5.0,1.0,1.0
250,3.0,4.0,69.0,and,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
