,uniform_id,trialid,sentnum,ianum,ia,firstfix_dur,dur,firstrun_nfix,nfix,firstrun_dur
46,pp23,1.0,5.0,46.0,write,162.0,162.0,1.0,1.0,162.0
47,pp23,1.0,5.0,47.0,an,97.0,97.0,1.0,1.0,97.0
48,pp23,1.0,5.0,48.0,account,123.0,123.0,1.0,1.0,123.0
49,pp23,1.0,5.0,49.0,of,218.0,218.0,1.0,1.0,218.0
50,pp23,1.0,5.0,50.0,the,0.0,0.0,0.0,0.0,0.0
51,pp23,1.0,5.0,51.0,whole,217.0,217.0,1.0,1.0,217.0
52,pp23,1.0,5.0,52.0,story.,138.0,138.0,1.0,1.0,138.0
53,pp23,1.0,5.0,53.0,"This,",79.0,79.0,1.0,2.0,79.0
54,pp23,1.0,5.0,54.0,we,26.0,26.0,1.0,3.0,26.0
55,pp23,1.0,5.0,55.0,"trust,",199.0,199.0,1.0,1.0,199.0
56,pp23,1.0,5.0,56.0,will,253.0,253.0,1.0,1.0,253.0
57,pp23,1.0,5.0,57.0,effectually,238.0,238.0,1.0,2.0,238.0
58,pp23,1.0,5.0,58.0,silence,110.0,110.0,1.0,3.0,110.0
59,pp23,1.0,5.0,59.0,the,0.0,0.0,0.0,0.0,0.0
60,pp23,1.0,5.0,60.0,sensational,227.0,227.0,1.0,1.0,227.0
61,pp23,1.0,5.0,61.0,rumours,176.0,412.0,2.0,2.0,429.0
62,pp23,1.0,5.0,62.0,which,283.0,283.0,1.0,1.0,283.0
63,pp23,1.0,5.0,63.0,still,214.0,214.0,1.0,1.0,214.0
64,pp23,1.0,5.0,64.0,persist.,173.0,173.0,1.0,2.0,173.0
65,pp23,1.0,5.0,65.0,I,0.0,0.0,0.0,0.0,0.0
66,pp23,1.0,5.0,66.0,will,364.0,364.0,1.0,1.0,364.0
67,pp23,1.0,5.0,67.0,therefore,317.0,317.0,1.0,3.0,317.0
68,pp23,1.0,5.0,68.0,briefly,178.0,178.0,1.0,1.0,178.0
69,pp23,1.0,5.0,69.0,set,118.0,118.0,1.0,2.0,118.0
70,pp23,1.0,5.0,70.0,down,92.0,343.0,2.0,2.0,363.0
71,pp23,1.0,5.0,71.0,the,0.0,0.0,0.0,0.0,0.0
72,pp23,1.0,5.0,72.0,circumstances,154.0,312.0,2.0,2.0,341.0
73,pp23,1.0,5.0,73.0,which,161.0,161.0,1.0,2.0,161.0
74,pp23,1.0,5.0,74.0,led,86.0,86.0,1.0,1.0,86.0
75,pp23,1.0,5.0,75.0,to,152.0,152.0,1.0,1.0,152.0
76,pp23,1.0,5.0,76.0,my,220.0,220.0,1.0,1.0,220.0
77,pp23,1.0,5.0,77.0,being,124.0,124.0,1.0,2.0,124.0
78,pp23,1.0,5.0,78.0,connected,105.0,105.0,1.0,3.0,105.0
79,pp23,1.0,5.0,79.0,with,0.0,0.0,0.0,0.0,0.0
80,pp23,1.0,5.0,80.0,the,140.0,140.0,1.0,1.0,140.0
81,pp23,1.0,5.0,81.0,affair.,97.0,97.0,1.0,1.0,97.0
82,pp23,1.0,6.0,82.0,I,273.0,273.0,1.0,3.0,273.0
83,pp23,1.0,6.0,83.0,had,101.0,101.0,1.0,1.0,101.0
84,pp23,1.0,6.0,84.0,been,157.0,157.0,1.0,3.0,157.0
85,pp23,1.0,6.0,85.0,invalided,101.0,301.0,2.0,2.0,327.0
86,pp23,1.0,6.0,86.0,home,399.0,399.0,1.0,1.0,399.0
87,pp23,1.0,6.0,87.0,from,457.0,457.0,1.0,1.0,457.0
88,pp23,1.0,6.0,88.0,the,0.0,0.0,0.0,0.0,0.0
89,pp23,1.0,6.0,89.0,Front;,207.0,207.0,1.0,1.0,207.0
90,pp23,1.0,6.0,90.0,"and,",47.0,47.0,1.0,1.0,47.0
91,pp23,1.0,6.0,91.0,after,152.0,152.0,1.0,1.0,152.0
92,pp23,1.0,6.0,92.0,spending,281.0,281.0,1.0,1.0,281.0
93,pp23,1.0,6.0,93.0,some,0.0,0.0,0.0,0.0,0.0
94,pp23,1.0,6.0,94.0,months,156.0,156.0,1.0,1.0,156.0
95,pp23,1.0,6.0,95.0,in,0.0,0.0,0.0,0.0,0.0
96,pp23,1.0,6.0,96.0,a,0.0,0.0,0.0,0.0,0.0
97,pp23,1.0,6.0,97.0,rather,103.0,271.0,2.0,2.0,305.0
98,pp23,1.0,6.0,98.0,depressing,152.0,152.0,1.0,1.0,152.0
99,pp23,1.0,6.0,99.0,Convalescent,57.0,177.0,2.0,2.0,362.0
100,pp23,1.0,6.0,100.0,"Home,",134.0,134.0,1.0,1.0,134.0
101,pp23,1.0,6.0,101.0,was,0.0,0.0,0.0,0.0,0.0
102,pp23,1.0,6.0,102.0,given,202.0,354.0,2.0,2.0,363.0
103,pp23,1.0,6.0,103.0,a,112.0,112.0,1.0,2.0,112.0
104,pp23,1.0,6.0,104.0,month's,154.0,154.0,1.0,2.0,154.0
105,pp23,1.0,6.0,105.0,sick,276.0,276.0,1.0,1.0,276.0
106,pp23,1.0,6.0,106.0,leave.,253.0,253.0,1.0,1.0,253.0
107,pp23,1.0,6.0,107.0,Having,0.0,0.0,0.0,0.0,0.0
108,pp23,1.0,6.0,108.0,no,63.0,63.0,1.0,1.0,63.0
109,pp23,1.0,6.0,109.0,near,82.0,82.0,1.0,1.0,82.0
110,pp23,1.0,6.0,110.0,relations,137.0,137.0,1.0,3.0,137.0
111,pp23,1.0,6.0,111.0,or,0.0,0.0,0.0,0.0,0.0
112,pp23,1.0,6.0,112.0,"friends,",176.0,176.0,1.0,1.0,176.0
113,pp23,1.0,6.0,113.0,I,0.0,0.0,0.0,0.0,0.0
114,pp23,1.0,6.0,114.0,was,178.0,178.0,1.0,1.0,178.0
115,pp23,1.0,6.0,115.0,trying,165.0,165.0,1.0,1.0,165.0
116,pp23,1.0,6.0,116.0,to,183.0,183.0,1.0,1.0,183.0
117,pp23,1.0,6.0,117.0,make,171.0,171.0,1.0,2.0,171.0
118,pp23,1.0,6.0,118.0,up,112.0,112.0,1.0,1.0,112.0
119,pp23,1.0,6.0,119.0,my,0.0,0.0,0.0,0.0,0.0
120,pp23,1.0,6.0,120.0,mind,0.0,0.0,0.0,0.0,0.0
121,pp23,1.0,6.0,121.0,what,73.0,73.0,1.0,1.0,73.0
122,pp23,1.0,6.0,122.0,to,18.0,18.0,1.0,1.0,18.0
123,pp23,1.0,6.0,123.0,"do,",124.0,124.0,1.0,1.0,124.0
124,pp23,1.0,6.0,124.0,when,248.0,248.0,1.0,1.0,248.0
125,pp23,1.0,6.0,125.0,I,274.0,274.0,1.0,1.0,274.0
126,pp23,1.0,6.0,126.0,ran,57.0,57.0,1.0,1.0,57.0
127,pp23,1.0,6.0,127.0,across,108.0,241.0,2.0,2.0,278.0
128,pp23,1.0,6.0,128.0,John,0.0,0.0,0.0,0.0,0.0
129,pp23,1.0,6.0,129.0,Cavendish.,183.0,183.0,1.0,1.0,183.0
130,pp23,1.0,6.0,130.0,I,0.0,0.0,0.0,0.0,0.0
131,pp23,1.0,6.0,131.0,had,152.0,152.0,1.0,1.0,152.0
132,pp23,1.0,6.0,132.0,seen,146.0,146.0,1.0,1.0,146.0
133,pp23,1.0,6.0,133.0,very,0.0,0.0,0.0,0.0,0.0
134,pp23,1.0,6.0,134.0,little,155.0,263.0,2.0,2.0,281.0
135,pp23,1.0,6.0,135.0,of,0.0,0.0,0.0,0.0,0.0
136,pp23,1.0,6.0,136.0,him,0.0,0.0,0.0,0.0,0.0
137,pp23,1.0,6.0,137.0,for,157.0,157.0,1.0,1.0,157.0
138,pp23,1.0,6.0,138.0,some,0.0,0.0,0.0,0.0,0.0
139,pp23,1.0,6.0,139.0,years.,147.0,147.0,1.0,1.0,147.0
140,pp23,1.0,6.0,140.0,"Indeed,",170.0,170.0,1.0,1.0,170.0
141,pp23,1.0,6.0,141.0,I,130.0,130.0,1.0,1.0,130.0
142,pp23,1.0,6.0,142.0,had,182.0,182.0,1.0,1.0,182.0
143,pp23,1.0,6.0,143.0,never,130.0,130.0,1.0,1.0,130.0
144,pp23,1.0,6.0,144.0,known,189.0,295.0,2.0,2.0,315.0
145,pp23,1.0,6.0,145.0,him,0.0,0.0,0.0,0.0,0.0
146,pp23,1.0,6.0,146.0,particularly,140.0,140.0,1.0,1.0,140.0
147,pp23,1.0,6.0,147.0,well.,130.0,130.0,1.0,1.0,130.0
148,pp23,1.0,6.0,148.0,He,0.0,0.0,0.0,0.0,0.0
149,pp23,1.0,6.0,149.0,was,0.0,0.0,0.0,0.0,0.0
150,pp23,1.0,6.0,150.0,a,188.0,188.0,1.0,1.0,188.0
151,pp23,1.0,6.0,151.0,good,0.0,0.0,0.0,0.0,0.0
152,pp23,1.0,6.0,152.0,fifteen,175.0,175.0,1.0,1.0,175.0
153,pp23,1.0,6.0,153.0,years,155.0,155.0,1.0,1.0,155.0
154,pp23,1.0,6.0,154.0,my,108.0,108.0,1.0,1.0,108.0
155,pp23,1.0,6.0,155.0,"senior,",173.0,173.0,1.0,1.0,173.0
156,pp23,1.0,6.0,156.0,for,182.0,182.0,1.0,1.0,182.0
157,pp23,1.0,6.0,157.0,one,0.0,0.0,0.0,0.0,0.0
158,pp23,1.0,6.0,158.0,"thing,",230.0,230.0,1.0,1.0,230.0
159,pp23,1.0,6.0,159.0,though,192.0,192.0,1.0,1.0,192.0
160,pp23,1.0,6.0,160.0,he,0.0,0.0,0.0,0.0,0.0
161,pp23,1.0,6.0,161.0,hardly,127.0,127.0,1.0,2.0,127.0
162,pp23,1.0,6.0,162.0,looked,150.0,150.0,1.0,1.0,150.0
163,pp23,1.0,6.0,163.0,his,207.0,207.0,1.0,1.0,207.0
164,pp23,1.0,6.0,164.0,forty-five,117.0,117.0,1.0,3.0,117.0
165,pp23,1.0,6.0,165.0,years.,123.0,123.0,1.0,1.0,123.0
166,pp23,1.0,7.0,166.0,As,191.0,191.0,1.0,1.0,191.0
167,pp23,1.0,7.0,167.0,a,86.0,86.0,1.0,1.0,86.0
168,pp23,1.0,7.0,168.0,"boy,",134.0,134.0,1.0,1.0,134.0
169,pp23,1.0,7.0,169.0,"though,",162.0,162.0,1.0,1.0,162.0
170,pp23,1.0,7.0,170.0,I,286.0,286.0,1.0,1.0,286.0
171,pp23,1.0,7.0,171.0,had,0.0,0.0,0.0,0.0,0.0
172,pp23,1.0,7.0,172.0,often,175.0,175.0,1.0,1.0,175.0
173,pp23,1.0,7.0,173.0,stayed,291.0,429.0,2.0,2.0,453.0
174,pp23,1.0,7.0,174.0,at,147.0,147.0,1.0,1.0,147.0
175,pp23,1.0,7.0,175.0,"Styles,",205.0,205.0,1.0,1.0,205.0
176,pp23,1.0,7.0,176.0,his,197.0,197.0,1.0,2.0,197.0
177,pp23,1.0,7.0,177.0,mother's,168.0,168.0,1.0,2.0,168.0
178,pp23,1.0,7.0,178.0,place,173.0,173.0,1.0,1.0,173.0
179,pp23,1.0,7.0,179.0,in,0.0,0.0,0.0,0.0,0.0
180,pp23,1.0,7.0,180.0,Essex.,210.0,210.0,1.0,1.0,210.0
181,pp23,1.0,7.0,181.0,We,0.0,0.0,0.0,0.0,0.0
182,pp23,1.0,7.0,182.0,had,197.0,197.0,1.0,1.0,197.0
183,pp23,1.0,7.0,183.0,a,0.0,0.0,0.0,0.0,0.0
184,pp23,1.0,7.0,184.0,good,112.0,112.0,1.0,1.0,112.0
185,pp23,1.0,7.0,185.0,yarn,203.0,203.0,1.0,1.0,203.0
186,pp23,1.0,7.0,186.0,about,155.0,155.0,1.0,1.0,155.0
187,pp23,1.0,7.0,187.0,old,111.0,111.0,1.0,2.0,111.0
188,pp23,1.0,7.0,188.0,"times,",0.0,0.0,0.0,0.0,0.0
189,pp23,1.0,7.0,189.0,and,0.0,0.0,0.0,0.0,0.0
190,pp23,1.0,7.0,190.0,it,59.0,59.0,1.0,1.0,59.0
191,pp23,1.0,7.0,191.0,ended,158.0,158.0,1.0,1.0,158.0
192,pp23,1.0,7.0,192.0,in,0.0,0.0,0.0,0.0,0.0
193,pp23,1.0,7.0,193.0,his,179.0,179.0,1.0,1.0,179.0
194,pp23,1.0,7.0,194.0,inviting,232.0,232.0,1.0,1.0,232.0
195,pp23,1.0,7.0,195.0,me,151.0,151.0,1.0,1.0,151.0
196,pp23,1.0,7.0,196.0,down,0.0,0.0,0.0,0.0,0.0
197,pp23,1.0,7.0,197.0,to,0.0,0.0,0.0,0.0,0.0
198,pp23,1.0,7.0,198.0,Styles,160.0,160.0,1.0,1.0,160.0
199,pp23,1.0,7.0,199.0,to,88.0,88.0,1.0,1.0,88.0
200,pp23,1.0,7.0,200.0,spend,166.0,166.0,1.0,1.0,166.0
201,pp23,1.0,7.0,201.0,my,125.0,125.0,1.0,2.0,125.0
202,pp23,1.0,7.0,202.0,leave,0.0,0.0,0.0,0.0,0.0
203,pp23,1.0,7.0,203.0,there.,167.0,167.0,1.0,1.0,167.0
204,pp23,1.0,7.0,204.0,"""The",0.0,0.0,0.0,0.0,0.0
205,pp23,1.0,7.0,205.0,mater,145.0,145.0,1.0,3.0,145.0
206,pp23,1.0,7.0,206.0,will,164.0,164.0,1.0,1.0,164.0
207,pp23,1.0,7.0,207.0,be,155.0,155.0,1.0,2.0,155.0
208,pp23,1.0,7.0,208.0,delighted,123.0,123.0,1.0,1.0,123.0
209,pp23,1.0,7.0,209.0,to,0.0,0.0,0.0,0.0,0.0
210,pp23,1.0,7.0,210.0,see,164.0,164.0,1.0,1.0,164.0
211,pp23,1.0,7.0,211.0,you,0.0,0.0,0.0,0.0,0.0
212,pp23,1.0,7.0,212.0,again...after,192.0,944.0,3.0,3.0,993.0
213,pp23,1.0,7.0,213.0,all,86.0,86.0,1.0,1.0,86.0
214,pp23,1.0,7.0,214.0,those,123.0,123.0,1.0,1.0,123.0
215,pp23,1.0,7.0,215.0,"years,""",75.0,75.0,1.0,1.0,75.0
216,pp23,1.0,7.0,216.0,he,0.0,0.0,0.0,0.0,0.0
217,pp23,1.0,7.0,217.0,added.,182.0,295.0,2.0,2.0,315.0
218,pp23,1.0,7.0,218.0,"""Your",0.0,0.0,0.0,0.0,0.0
219,pp23,1.0,7.0,219.0,mother,122.0,122.0,1.0,1.0,122.0
220,pp23,1.0,7.0,220.0,keeps,172.0,172.0,1.0,1.0,172.0
221,pp23,1.0,7.0,221.0,"well?""",148.0,148.0,1.0,1.0,148.0
222,pp23,1.0,7.0,222.0,I,0.0,0.0,0.0,0.0,0.0
223,pp23,1.0,7.0,223.0,asked.,341.0,341.0,1.0,1.0,341.0
224,pp23,1.0,7.0,224.0,"""Oh,",0.0,0.0,0.0,0.0,0.0
225,pp23,1.0,7.0,225.0,yes.,275.0,421.0,2.0,2.0,442.0
226,pp23,1.0,7.0,226.0,I,0.0,0.0,0.0,0.0,0.0
227,pp23,1.0,7.0,227.0,suppose,78.0,200.0,2.0,2.0,233.0
228,pp23,1.0,7.0,228.0,you,0.0,0.0,0.0,0.0,0.0
229,pp23,1.0,7.0,229.0,know,66.0,66.0,1.0,2.0,66.0
230,pp23,1.0,7.0,230.0,that,0.0,0.0,0.0,0.0,0.0
231,pp23,1.0,7.0,231.0,she,137.0,137.0,1.0,1.0,137.0
232,pp23,1.0,7.0,232.0,has,0.0,0.0,0.0,0.0,0.0
233,pp23,1.0,7.0,233.0,married,177.0,177.0,1.0,1.0,177.0
234,pp23,1.0,7.0,234.0,"again?""",132.0,132.0,1.0,1.0,132.0
235,pp23,1.0,7.0,235.0,I,0.0,0.0,0.0,0.0,0.0
236,pp23,1.0,7.0,236.0,am,0.0,0.0,0.0,0.0,0.0
237,pp23,1.0,7.0,237.0,afraid,36.0,109.0,2.0,2.0,308.0
238,pp23,1.0,7.0,238.0,I,0.0,0.0,0.0,0.0,0.0
239,pp23,1.0,7.0,239.0,showed,194.0,194.0,1.0,1.0,194.0
240,pp23,1.0,7.0,240.0,my,0.0,0.0,0.0,0.0,0.0
241,pp23,1.0,7.0,241.0,surprise,134.0,134.0,1.0,1.0,134.0
242,pp23,1.0,7.0,242.0,rather,132.0,297.0,2.0,2.0,331.0
243,pp23,1.0,7.0,243.0,plainly.,340.0,578.0,2.0,2.0,602.0
336,pp23,1.0,9.0,336.0,He,203.0,203.0,1.0,1.0,203.0
337,pp23,1.0,9.0,337.0,had,64.0,64.0,1.0,1.0,64.0
338,pp23,1.0,9.0,338.0,been,52.0,52.0,1.0,1.0,52.0
339,pp23,1.0,9.0,339.0,completely,158.0,158.0,1.0,1.0,158.0
340,pp23,1.0,9.0,340.0,under,196.0,196.0,1.0,2.0,196.0
341,pp23,1.0,9.0,341.0,his,187.0,187.0,1.0,1.0,187.0
342,pp23,1.0,9.0,342.0,wife's,111.0,111.0,1.0,1.0,111.0
343,pp23,1.0,9.0,343.0,"ascendancy,",191.0,347.0,2.0,3.0,360.0
344,pp23,1.0,9.0,344.0,so,162.0,253.0,2.0,3.0,274.0
345,pp23,1.0,9.0,345.0,much,0.0,0.0,0.0,0.0,0.0
346,pp23,1.0,9.0,346.0,so,197.0,197.0,1.0,1.0,197.0
347,pp23,1.0,9.0,347.0,"that,",0.0,0.0,0.0,0.0,0.0
348,pp23,1.0,9.0,348.0,on,0.0,0.0,0.0,0.0,0.0
349,pp23,1.0,9.0,349.0,"dying,",185.0,185.0,1.0,1.0,185.0
350,pp23,1.0,9.0,350.0,he,0.0,0.0,0.0,0.0,0.0
351,pp23,1.0,9.0,351.0,left,183.0,183.0,1.0,1.0,183.0
352,pp23,1.0,9.0,352.0,the,0.0,0.0,0.0,0.0,0.0
353,pp23,1.0,9.0,353.0,place,111.0,111.0,1.0,3.0,111.0
354,pp23,1.0,9.0,354.0,to,0.0,0.0,0.0,0.0,0.0
355,pp23,1.0,9.0,355.0,her,0.0,0.0,0.0,0.0,0.0
356,pp23,1.0,9.0,356.0,for,151.0,151.0,1.0,1.0,151.0
357,pp23,1.0,9.0,357.0,her,0.0,0.0,0.0,0.0,0.0
358,pp23,1.0,9.0,358.0,"lifetime,",227.0,227.0,1.0,1.0,227.0
359,pp23,1.0,9.0,359.0,as,0.0,0.0,0.0,0.0,0.0
360,pp23,1.0,9.0,360.0,well,190.0,339.0,2.0,2.0,365.0
361,pp23,1.0,9.0,361.0,as,0.0,0.0,0.0,0.0,0.0
362,pp23,1.0,9.0,362.0,the,0.0,0.0,0.0,0.0,0.0
363,pp23,1.0,9.0,363.0,larger,0.0,0.0,0.0,0.0,0.0
364,pp23,1.0,9.0,364.0,part,0.0,0.0,0.0,0.0,0.0
365,pp23,1.0,9.0,365.0,of,0.0,0.0,0.0,0.0,0.0
366,pp23,1.0,9.0,366.0,his,0.0,0.0,0.0,0.0,0.0
367,pp23,1.0,9.0,367.0,income;,0.0,0.0,0.0,0.0,0.0
368,pp23,1.0,9.0,368.0,an,198.0,198.0,1.0,1.0,198.0
369,pp23,1.0,9.0,369.0,arrangement,154.0,251.0,2.0,2.0,297.0
370,pp23,1.0,9.0,370.0,that,159.0,188.0,2.0,2.0,208.0
371,pp23,1.0,9.0,371.0,was,0.0,0.0,0.0,0.0,0.0
372,pp23,1.0,9.0,372.0,distinctly,124.0,124.0,1.0,3.0,124.0
373,pp23,1.0,9.0,373.0,unfair,82.0,82.0,1.0,2.0,82.0
374,pp23,1.0,9.0,374.0,to,199.0,199.0,1.0,1.0,199.0
375,pp23,1.0,9.0,375.0,his,139.0,139.0,1.0,1.0,139.0
376,pp23,1.0,9.0,376.0,two,194.0,194.0,1.0,1.0,194.0
377,pp23,1.0,9.0,377.0,sons.,203.0,203.0,1.0,1.0,203.0
378,pp23,1.0,9.0,378.0,Their,149.0,149.0,1.0,2.0,149.0
379,pp23,1.0,9.0,379.0,"step-mother,",159.0,214.0,2.0,4.0,249.0
380,pp23,1.0,9.0,380.0,"however,",165.0,165.0,1.0,1.0,165.0
381,pp23,1.0,9.0,381.0,had,122.0,122.0,1.0,1.0,122.0
382,pp23,1.0,9.0,382.0,always,339.0,339.0,1.0,1.0,339.0
383,pp23,1.0,9.0,383.0,been,0.0,0.0,0.0,0.0,0.0
384,pp23,1.0,9.0,384.0,most,153.0,153.0,1.0,1.0,153.0
385,pp23,1.0,9.0,385.0,generous,88.0,88.0,1.0,1.0,88.0
386,pp23,1.0,9.0,386.0,to,0.0,0.0,0.0,0.0,0.0
387,pp23,1.0,9.0,387.0,them;,0.0,0.0,0.0,0.0,0.0
388,pp23,1.0,9.0,388.0,"indeed,",64.0,208.0,2.0,2.0,232.0
389,pp23,1.0,9.0,389.0,they,0.0,0.0,0.0,0.0,0.0
390,pp23,1.0,9.0,390.0,were,141.0,141.0,1.0,1.0,141.0
391,pp23,1.0,9.0,391.0,so,0.0,0.0,0.0,0.0,0.0
392,pp23,1.0,9.0,392.0,young,158.0,158.0,1.0,1.0,158.0
393,pp23,1.0,9.0,393.0,at,0.0,0.0,0.0,0.0,0.0
394,pp23,1.0,9.0,394.0,the,84.0,84.0,1.0,1.0,84.0
395,pp23,1.0,9.0,395.0,time,118.0,118.0,1.0,1.0,118.0
396,pp23,1.0,9.0,396.0,of,0.0,0.0,0.0,0.0,0.0
397,pp23,1.0,9.0,397.0,their,137.0,137.0,1.0,1.0,137.0
398,pp23,1.0,9.0,398.0,father's,60.0,60.0,1.0,1.0,60.0
399,pp23,1.0,9.0,399.0,remarriage,208.0,208.0,1.0,1.0,208.0
400,pp23,1.0,9.0,400.0,that,0.0,0.0,0.0,0.0,0.0
401,pp23,1.0,9.0,401.0,they,249.0,249.0,1.0,1.0,249.0
402,pp23,1.0,9.0,402.0,always,173.0,173.0,1.0,1.0,173.0
403,pp23,1.0,9.0,403.0,thought,140.0,140.0,1.0,1.0,140.0
404,pp23,1.0,9.0,404.0,of,0.0,0.0,0.0,0.0,0.0
405,pp23,1.0,9.0,405.0,her,48.0,48.0,1.0,1.0,48.0
406,pp23,1.0,9.0,406.0,as,0.0,0.0,0.0,0.0,0.0
407,pp23,1.0,9.0,407.0,their,207.0,207.0,1.0,1.0,207.0
408,pp23,1.0,9.0,408.0,own,87.0,87.0,1.0,1.0,87.0
409,pp23,1.0,9.0,409.0,mother.,220.0,220.0,1.0,1.0,220.0
410,pp23,1.0,9.0,410.0,"Lawrence,",142.0,142.0,1.0,2.0,142.0
411,pp23,1.0,9.0,411.0,the,126.0,126.0,1.0,1.0,126.0
412,pp23,1.0,9.0,412.0,"younger,",128.0,128.0,1.0,1.0,128.0
413,pp23,1.0,9.0,413.0,had,158.0,158.0,1.0,1.0,158.0
414,pp23,1.0,9.0,414.0,been,150.0,150.0,1.0,1.0,150.0
415,pp23,1.0,9.0,415.0,a,176.0,176.0,1.0,1.0,176.0
416,pp23,1.0,9.0,416.0,delicate,185.0,185.0,1.0,2.0,185.0
417,pp23,1.0,9.0,417.0,youth.,137.0,137.0,1.0,2.0,137.0
418,pp23,1.0,10.0,418.0,He,202.0,202.0,1.0,1.0,202.0
419,pp23,1.0,10.0,419.0,had,0.0,0.0,0.0,0.0,0.0
420,pp23,1.0,10.0,420.0,qualified,205.0,352.0,2.0,2.0,375.0
421,pp23,1.0,10.0,421.0,as,283.0,283.0,1.0,1.0,283.0
422,pp23,1.0,10.0,422.0,a,130.0,130.0,1.0,1.0,130.0
423,pp23,1.0,10.0,423.0,doctor,155.0,155.0,1.0,2.0,155.0
424,pp23,1.0,10.0,424.0,but,0.0,0.0,0.0,0.0,0.0
425,pp23,1.0,10.0,425.0,early,130.0,130.0,1.0,1.0,130.0
426,pp23,1.0,10.0,426.0,relinquished,179.0,179.0,1.0,1.0,179.0
427,pp23,1.0,10.0,427.0,the,156.0,156.0,1.0,1.0,156.0
428,pp23,1.0,10.0,428.0,profession,196.0,196.0,1.0,2.0,196.0
429,pp23,1.0,10.0,429.0,of,0.0,0.0,0.0,0.0,0.0
430,pp23,1.0,10.0,430.0,"medicine,",0.0,0.0,0.0,0.0,0.0
431,pp23,1.0,10.0,431.0,and,122.0,122.0,1.0,1.0,122.0
